image_id,cell_id,x,y,width,height,area,mean,std,min,max
23,1,27,5,146,49,5149,228.38221013789087,30.893793126896153,0.0,251.0
23,2,164,9,134,49,4916,143.16293734743695,64.50847593684261,0.0,246.0
23,3,27,42,147,48,5291,203.74938574938574,23.812653476726656,75.0,238.0
23,4,167,48,134,45,4386,146.20018239854082,30.179151353829006,10.0,196.0
23,5,27,80,147,48,5263,182.48907467224018,17.493817597952102,39.0,213.0
23,6,167,85,135,43,4587,157.91868323523,17.705969187093785,34.0,187.0
23,7,27,116,143,47,4716,140.89885496183206,29.191402647196835,7.0,198.0
23,8,163,121,138,43,4589,157.21704074961866,30.978844127648724,25.0,214.0
23,9,27,152,143,42,4285,95.4487747957993,26.29375391605944,14.0,179.0
23,10,162,154,138,42,3988,180.50626880641926,29.744662473407406,7.0,233.0
23,11,26,183,144,32,3122,76.60153747597694,24.129630115813665,8.0,144.0
23,12,162,185,135,30,2721,139.92319000367513,41.01699142681899,4.0,203.0
24,1,0,15,146,49,5158,102.4257464133385,39.566032537558605,0.0,218.0
24,2,138,4,154,56,5933,148.49182538344851,32.63545293683281,0.0,238.0
24,3,3,53,145,43,4450,131.6732584269663,35.04154490255723,17.0,236.0
24,4,141,45,151,48,4817,155.0240813784513,14.101100054409494,14.0,224.0
24,5,9,86,141,43,4519,148.85793317105555,31.252325580546483,15.0,223.0
24,6,142,79,150,50,4951,170.40658452837812,23.34046543820887,27.0,247.0
24,7,13,122,137,42,4240,163.3495283018868,29.23485738925288,5.0,216.0
24,8,143,113,149,51,5132,183.8776305533905,21.31167018433549,2.0,213.0
24,9,18,154,134,40,3877,155.4070157338148,39.95641076473095,1.0,248.0
24,10,144,150,149,45,4651,186.85486992044721,22.6688510667283,31.0,249.0
24,11,23,185,131,31,2797,131.19234894529853,35.16191932626804,10.0,194.0
24,12,147,185,146,34,3402,150.1255144032922,29.889456365208446,1.0,217.0
25,1,20,19,140,34,3452,119.46929316338354,23.052723998291434,5.0,195.0
25,2,152,15,146,38,3917,97.45468470768445,18.18874748959192,0.0,124.0
25,3,21,46,139,36,3671,108.69109234540997,9.275376357341717,14.0,155.0
25,4,153,42,147,37,3752,105.4389658848614,5.519205255211658,21.0,120.0
25,5,22,72,143,42,4474,108.15176575771122,8.514416907387231,29.0,153.0
25,6,156,70,148,44,4637,103.9991373733017,8.75928290419902,21.0,146.0
25,7,23,106,145,43,4692,103.9737851662404,11.609222011622583,7.0,156.0
25,8,159,103,148,44,4734,104.15800591465991,7.916278912201465,35.0,148.0
25,9,25,141,145,42,4699,101.79506277931475,11.557968901498295,3.0,165.0
25,10,162,136,148,46,4845,103.015479876161,9.944716526499016,6.0,154.0
25,11,26,175,145,40,4345,99.07387802071347,12.482210910680964,8.0,161.0
